cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,response,rlog
4,1,13,0,0,0,1,0,0,0,0,0,0,0.113282051282051,-2.17787454113172
8,1,1,0,0,0,0,0,0,0,1,0,0,0.818028571428571,-0.200858014592586
8,1,2,0,0,0,0,0,0,0,1,0,0,0.6352,-0.453815369049211
8,1,3,0,0,0,0,0,0,0,1,0,0,0.551885714285714,-0.594414293478118
8,1,4,0,0,0,0,0,0,0,1,0,0,0.488457142857143,-0.716503543472567
8,1,5,0,0,0,0,0,0,0,1,0,0,0.420685714285714,-0.865869245972639
8,1,6,0,0,0,0,0,0,0,1,0,0,0.354057142857143,-1.03829695837485
8,1,7,0,0,0,0,0,0,0,1,0,0,0.293142857142857,-1.22709522174679
8,1,8,0,0,0,0,0,0,0,1,0,0,0.223742857142857,-1.49725784572061
8,1,9,0,0,0,0,0,0,0,1,0,0,0.181057142857143,-1.70894259114803
8,1,10,0,0,0,0,0,0,0,1,0,0,0.121857142857143,-2.10490588054577
8,1,11,0,0,0,0,0,0,0,1,0,0,0.116857142857143,-2.1468030914347
8,1,12,0,0,0,0,0,0,0,1,0,0,0.07469696969697,-2.59431575397183
8,1,13,0,0,0,0,0,0,0,1,0,0,0.112969696969697,-2.18063566464314
6,1,1,0,0,0,0,0,1,0,0,0,0,1.05740540540541,0.055818176784022
6,1,2,0,0,0,0,0,1,0,0,0,0,1.04743243243243,0.04634186708925
6,1,3,0,0,0,0,0,1,0,0,0,0,0.971486486486486,-0.02892792020839
6,1,4,0,0,0,0,0,1,0,0,0,0,0.832945945945946,-0.182786529741988
6,1,5,0,0,0,0,0,1,0,0,0,0,0.679432432432432,-0.386497487520673
6,1,6,0,0,0,0,0,1,0,0,0,0,0.532486486486486,-0.630197759210737
6,1,7,0,0,0,0,0,1,0,0,0,0,0.451162162162162,-0.795928442770973
6,1,8,0,0,0,0,0,1,0,0,0,0,0.452648648648649,-0.792639064487328
6,1,9,0,0,0,0,0,1,0,0,0,0,0.396486486486486,-0.925113320489334
6,1,10,0,0,0,0,0,1,0,0,0,0,0.257675675675676,-1.35605355586159
6,1,11,0,0,0,0,0,1,0,0,0,0,0.235081081081081,-1.44782479846878
6,1,12,0,0,0,0,0,1,0,0,0,0,0.222314285714286,-1.50366319685462
6,1,13,0,0,0,0,0,1,0,0,0,0,0.181171428571429,-1.70831157677152
7,1,1,0,0,0,0,0,0,1,0,0,0,0.978564102564102,-0.021668983240047
7,1,2,0,0,0,0,0,0,1,0,0,0,0.874589743589744,-0.134000367044702
7,1,3,0,0,0,0,0,0,1,0,0,0,0.728282051282051,-0.317066872738526
7,1,4,0,0,0,0,0,0,1,0,0,0,0.541564102564103,-0.613293839927641
7,1,5,0,0,0,0,0,0,1,0,0,0,0.44574358974359,-0.808011403175518
7,1,6,0,0,0,0,0,0,1,0,0,0,0.390794871794872,-0.939572481225934
7,1,7,0,0,0,0,0,0,1,0,0,0,0.336384615384615,-1.08950008503075
7,1,8,0,0,0,0,0,0,1,0,0,0,0.282589743589744,-1.26375910242024
7,1,9,0,0,0,0,0,0,1,0,0,0,0.23225641025641,-1.45991330099562
7,1,10,0,0,0,0,0,0,1,0,0,0,0.182461538461538,-1.70121587632606
7,1,11,0,0,0,0,0,0,1,0,0,0,0.135589743589744,-1.99812154358026
7,1,12,0,0,0,0,0,0,1,0,0,0,0.126513513513514,-2.06740615032629
7,1,13,0,0,0,0,0,0,1,0,0,0,0.114405405405405,-2.16800695110544
9,1,1,0,0,0,0,0,0,0,0,1,0,0.573176470588235,-0.556561633088675
9,1,2,0,0,0,0,0,0,0,0,1,0,0.448352941176471,-0.802174541604548
9,1,3,0,0,0,0,0,0,0,0,1,0,0.420588235294118,-0.8661009873503
9,1,4,0,0,0,0,0,0,0,0,1,0,0.3965,-0.925079237907234
